OBS:   57990.006  u  -1   9.6805e+01   7.4175e+01    1   -9  30.811 3.036 35.4 39.6 0.97 574.62 1829.24  20170824  671496   36   0  
OBS:   57990.967  Y  -1   8.2267e+02   4.0218e+01  12800   0.850  32.936 2.906 433.6 395.9 1.01 554.29 1768.49  20170825  671854   36   10341056  
OBS:   57990.982  z  -1   6.0822e+02   2.7236e+01  12800   0.845  32.889 2.984 310.7 219.3 0.99 542.55 1777.25  20170825  671860   36   10336384  
OBS:   57990.991  r  -1   1.3273e+02   1.6304e+01  12800   0.710  34.232 3.371 688.5 359.0 1.00 558.13 1776.43  20170825  671864   36   10333820  
OBS:   57991.968  Y  -1   4.4859e+02   3.4202e+01  4608   0.040  32.929 2.515 395.2 391.6 1.01 555.81 1772.54  20170826  672247   36   9820314  
OBS:   57991.983  z  -1   3.2995e+02   1.5860e+01  12800   0.890  34.053 2.808 478.3 641.8 0.99 573.48 1783.46  20170826  672253   36   10336697  
OBS:   57991.992  i  -1   1.8898e+02   1.0926e+01  4608   0.145  34.443 2.766 381.0 627.5 1.02 567.92 1790.05  20170826  672257   36   9147274  
OBS:   57992.969  Y  -1   2.3185e+02   2.6070e+01  12288   0.664  32.907 1.910 430.5 382.1 1.01 561.55 1770.91  20170827  672600   36   10339626  
OBS:   57992.983  z  -1   2.0331e+02   1.5115e+01  4608   0.080  33.604 2.000 448.1 414.0 0.99 560.26 1804.58  20170827  672606   36   9471296  
OBS:   57993.968  Y  -1   1.1444e+02   3.7738e+01  512   -9  32.865 2.530 428.1 361.5 1.01 558.94 1796.27  20170828  672965   36   0  
OBS:   57993.983  z  -1   7.3583e+01   2.0178e+01  4608   0.020  33.544 2.798 378.4 402.4 0.99 567.64 1799.42  20170828  672971   36   10419206  
OBS:   57993.992  i  -1   9.1580e+01   1.3284e+01  512   -9  34.405 3.028 429.7 605.2 1.02 574.27 1801.64  20170828  672975   36   0  
OBS:   57994.990  z  -1   1.5738e+02   2.8350e+01  512   -9  33.883 3.622 550.2 517.5 0.99 551.08 1750.78  20170829  673286   36   0  
OBS:   57995.991  z  -1   7.0310e+00   1.8622e+01  513   -9  34.035 2.702 485.6 741.4 0.99 567.34 1784.96  20170830  673587   36   0  
